iteration_id,strategy,global_mse,global_r2,var_mse_across_horizons,max_depth,min_samples_leaf,n_estimators,is_best
1,random,0.3223069203352983,-1.6527824668701445,0.03318480157801851,7,6,129,False
2,random,0.26449725961232967,-1.1769737122145982,0.0245724301092869,4,1,44,False
3,random,0.09249668475568994,0.23869588866337343,0.00018824139931000213,1,2,15,True
4,random,0.30817429215384773,-1.5364623201865255,0.03126240332533934,7,10,123,False
5,random,0.3073700254535923,-1.5298427148770743,0.031067619881766213,7,10,78,False
6,bayes,0.10151721432361428,0.1644514304470266,0.00040384329387116284,1,10,147,False
7,bayes,0.11161091383574952,0.08137412927151222,0.0038722470838926043,2,1,7,False
8,bayes,0.42111498685178994,-2.466033098186427,0.07186743843265919,10,10,7,False
9,bayes,0.11279394894456428,0.07163702902218827,0.004135415829426318,2,10,5,False
10,bayes,0.10155059675088206,0.16417667271714154,0.00040428064408478667,1,1,144,False
11,bayes,0.24891171485179384,-1.0486951762329388,0.04692419445670595,3,10,20,False
12,bayes,0.3198953922315042,-1.63293412025241,0.06060091083199274,5,10,5,False
13,bayes,0.40380256110962676,-2.3235412788360246,0.06613556940099713,8,10,6,False
14,bayes,0.10175217469436891,0.16251756333893352,0.0004012596698314226,1,1,5,False
15,bayes,0.3608145731144345,-1.969723927595052,0.05922523071459938,6,10,6,False
16,bayes,0.10209503633694139,0.15969560297571084,0.00040045339696082293,1,10,8,False
17,bayes,0.10156312249680044,0.16407357819120905,0.00040365053151541455,1,10,143,False
18,bayes,0.11207983881755157,0.07751459076483724,0.003785748714096471,2,9,102,False
19,bayes,0.4008538875586998,-2.2992718976875053,0.0578474237243826,9,1,148,False
20,bayes,0.10187458598049004,0.16151004381924294,0.00040314387528669757,1,1,6,False
21,bayes,0.10151721432361428,0.1644514304470266,0.000403843293871163,1,1,147,False
22,bayes,0.11149978041874269,0.0822888250522058,0.0037020979963388522,2,1,150,False
23,bayes,0.1014792212477518,0.16476413662598666,0.00041780715184727935,1,10,10,False
24,bayes,0.27958936166811993,-1.3011909138811504,0.05632635787002371,4,10,148,False
25,bayes,0.2583310179458958,-1.1262217837043975,0.052798896359880505,3,1,149,False
26,bayes,0.10152649314358213,0.16437506010133762,0.0004037207412630738,1,5,148,False
27,bayes,0.10135019456176309,0.16582610492003735,0.000425997875649156,1,10,13,False
28,bayes,0.4081151167609841,-2.3590362412383867,0.060346977134577644,9,3,80,False
29,bayes,0.1017521746943689,0.16251756333893363,0.00040125966983142253,1,5,5,False
30,bayes,0.30176220470645304,-1.4836869310053356,0.05037039667930006,5,1,150,False
31,bayes,0.10151656878496283,0.16445674362371676,0.00040392259747244513,1,3,150,False
32,bayes,0.11149751737815897,0.0823074512559997,0.0037052769251045836,2,10,149,False
33,bayes,0.42610600929923087,-2.507112255985933,0.060628912616145815,8,2,13,False
34,bayes,0.1015009195752144,0.16458554616136578,0.0004161614778015886,1,1,11,False
35,bayes,0.11171413642179054,0.08052454445294932,0.003926880547471649,2,1,6,False
36,bayes,0.101894816065819,0.16134353788257816,0.00040017879430100545,1,6,7,False
37,bayes,0.10152649314358211,0.16437506010133773,0.00040372074126307386,1,10,148,False
38,bayes,0.4065996919876618,-2.3465633713901446,0.058612416664468925,10,1,147,False
39,bayes,0.10152649314358213,0.16437506010133762,0.0004037207412630739,1,1,148,False
40,bayes,0.10153073801857139,0.16434012219204952,0.00040367494666655246,1,5,149,False
41,bayes,0.3831637532773014,-2.153671306767979,0.05512262439788176,7,1,136,False
42,bayes,0.11149978041874269,0.0822888250522058,0.0037020979963388522,2,2,150,False
43,bayes,0.11149978041874269,0.0822888250522058,0.0037020979963388514,2,6,150,False
44,bayes,0.10151656878496283,0.16445674362371676,0.00040392259747244513,1,9,150,False
45,bayes,0.35552905136780016,-1.9262208610051514,0.055293656379956535,6,1,5,False
46,bayes,0.11279394894456428,0.07163702902218827,0.004135415829426319,2,4,5,False
47,bayes,0.10187458598049004,0.16151004381924294,0.0004031438752866977,1,8,6,False
48,bayes,0.1018410775308489,0.16178583879009734,0.00040786947331213704,1,3,9,False
49,bayes,0.10153073801857139,0.16434012219204952,0.0004036749466665526,1,8,149,False
50,bayes,0.26389420369135497,-1.1720101942980738,0.044853724295563585,4,5,149,False
51,bayes,0.3976947898883036,-2.273270597738875,0.07032694952209415,9,10,149,False
52,bayes,0.11171413642179054,0.08052454445294932,0.003926880547471649,2,7,6,False
53,bayes,0.3947033988017694,-2.248649625227164,0.05534392081162457,8,7,21,False
54,bayes,0.2638654265171749,-1.1717733406089517,0.04543048835035449,4,3,97,False
55,bayes,0.1015172143236143,0.16445143044702648,0.00040384329387116295,1,3,147,False
