iteration_id,strategy,global_mse,global_r2,var_mse_across_horizons,batch_size,dropout,epochs,learning_rate,num_layers,patience,recurrent_dropout,units,is_best
1,random,0.08705412360391877,0.2834914853054411,0.00014722808241682194,48,0.10791468550554813,3,0.0022297217157477775,2,3,0.012292057180858407,84,False
2,random,0.07626609088603249,0.3722835721035104,0.00012810848223867191,168,0.2917986243935994,24,0.0016036685991738307,2,8,0.16308749743962686,81,False
3,random,0.08062498836703087,0.3364071881883043,0.00018625042016817445,204,0.3429617106350278,30,0.0018837355453819819,1,7,0.010075672591639306,70,False
4,random,0.14737300287043562,-0.2129696678494779,1.911567862813964e-05,153,0.11988475621495392,18,0.0001526094648129324,1,2,0.12680616635929753,30,False
5,random,0.0746064968062002,0.38594304324524265,0.0001972204848425643,203,0.25887580462970006,17,0.0028106885617398374,3,5,0.18461553344437615,16,True
6,bayes,0.09287054005563448,0.23561883160295538,0.0002465405809799905,32,0.0,3,0.003,1,8,0.3,96,False
7,bayes,0.12896237403548744,-0.06143896746427924,0.000322783819574491,256,0.0,40,0.0019341361299200664,3,8,0.3,96,False
8,bayes,0.0793651846168209,0.3467761411626229,9.623219574062794e-05,206,0.4,6,0.0019328452131224002,3,8,0.20688712504343762,66,False
9,bayes,0.08762116930331837,0.2788243534681333,0.00016545996254837823,129,0.4,40,0.003,1,2,0.0,19,False
10,bayes,0.11377342358165271,0.06357535556724303,8.905064627186882e-05,32,0.4,3,0.0003294142069400819,2,3,0.3,64,False
11,bayes,0.08780952482800726,0.2772740726584224,0.0003522395165049284,32,0.4,19,0.003,2,3,0.19711794691860507,93,False
12,bayes,0.09343812693607376,0.23094724551572987,7.198158592921544e-05,32,0.24407335304679553,18,0.003,3,5,0.28682156454109414,45,False
13,bayes,0.084231235787379,0.3067255731676183,0.00011689418603566271,159,0.4,18,0.0029723665957252067,1,6,0.1503436326885987,72,False
14,bayes,0.08351001320547129,0.3126616747505604,0.00011414252630851313,256,0.4,21,0.0025380479577552487,1,8,0.0,16,False
15,bayes,0.08320957628301,0.31513445380065486,9.208195748861837e-05,256,0.2566850756439921,3,0.0014761991570870036,3,2,0.2707315084419827,75,False
16,bayes,0.1430776887442376,-0.17761661371144144,3.14840949942327e-06,256,0.4,18,0.0001,3,8,0.10520090605076898,45,False
17,bayes,0.08695050808290608,0.2843443042183953,9.672465893657285e-05,123,0.2532460664169597,3,0.0020638018180678883,3,3,0.13182369883774445,35,False
18,bayes,0.08741192382968171,0.28054657129441507,6.562012577362669e-05,256,0.2490935725136798,3,0.003,2,8,0.25815940054405606,96,False
19,bayes,0.0817994572694835,0.3267405930402095,5.8413288352672826e-05,256,0.4,28,0.0017493670177969071,3,4,0.3,94,False
20,bayes,0.07830705927761526,0.35548515784980916,0.00012907277990274057,32,0.4,40,0.0008123054711142931,3,4,0.23278366014593113,66,False
21,bayes,0.14076100111796924,-0.15854886204856644,8.865636260297754e-05,256,0.0,3,0.0013023091910626435,1,4,0.20128232973847848,18,False
22,bayes,0.07740047965625901,0.3629468608807396,0.0001420685557246862,256,0.4,32,0.0007880441597875153,2,8,0.04446382125262046,54,False
23,bayes,0.08136936335948672,0.33028052815038367,0.00012869762210467788,32,0.27228249268220595,10,0.000945837650263059,1,7,0.26224143622722423,24,False
24,bayes,0.08156207696521921,0.3286943776765351,0.00012105352015461165,32,0.4,24,0.0013046376786800355,2,4,0.10095216847848905,85,False
25,bayes,0.08339466943807226,0.31361102428205834,9.438774248360807e-05,148,0.3998588681507742,9,0.0009858322937589313,2,4,0.00014185450855205286,58,False
26,bayes,0.08206558062698038,0.3245502355509635,0.00017909652534619535,252,0.30338257561462423,22,0.0007868203657694172,1,4,0.11538418792292589,92,False
27,bayes,0.08487473328161964,0.3014291964456395,0.00012593311945822803,218,0.13172561450567985,40,0.003,2,3,0.2536833983585195,82,False
28,bayes,0.17145330863403252,-0.4111652661943337,0.0007136470032175277,115,0.0025474459439205352,28,0.00010306547744334098,3,3,0.17140143868436197,30,False
29,bayes,0.07626266935602788,0.3723117333815761,0.00015102422462266786,256,0.2748170634914613,40,0.0014922935083666808,3,8,0.3,16,False
30,bayes,0.07876558546471955,0.351711207763706,6.303681038214255e-05,52,0.19243823983059793,38,0.001150239776837012,1,7,0.24253716991000213,80,False
31,bayes,0.07569889760895304,0.3769519185951019,0.00014868266959202264,148,0.30348622707986683,39,0.000984740130264285,3,8,0.24103516386696572,95,False
32,bayes,0.08019627119990763,0.3399357918652205,0.00012612007932727944,32,0.23762677319098224,38,0.0005686081403709119,1,4,0.06887162421151144,68,False
33,bayes,0.08219908340910702,0.3234514262565936,9.69011464955951e-05,32,0.12653795101652449,38,0.0008854823400608796,1,3,0.15616378629994793,88,False
34,bayes,0.07781188837300325,0.3595607163035106,0.00016506303790193023,151,0.21494471206856078,39,0.0008768295262972736,3,7,0.22354639044418803,54,False
35,bayes,0.08781504937064549,0.27722860230416235,7.875678245555228e-05,60,0.08464379939265594,38,0.002966542517651284,3,3,0.2555030705761986,19,False
